Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/Gear-Black-Casual-Backpack-MDBKPECO50104/dp/B0757MBSS6/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-67,Gear Casual Backpack,₹399,3.8 out of 5 stars,"2,244"
https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-68,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,₹439,3.8 out of 5 stars,54
https://www.amazon.in/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27S9SG/ref=sr_1_69?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-69,"Safari Tribe 35 Ltrs Large Laptop Backpack with 3 Compartments, Water Resistant Fabric - Black (TRIBE19CBBLK)","₹1,109",3.8 out of 5 stars,"1,711"
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_70?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-70,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",₹599,4.0 out of 5 stars,"1,609"
https://www.amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D3YR7T/ref=sr_1_71?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-71,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",₹399,4.2 out of 5 stars,115
https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_72?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-72,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,₹499,3.9 out of 5 stars,"4,122"
https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_73?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-73,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",₹479,3.9 out of 5 stars,"10,361"
https://www.amazon.in/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74/ref=sr_1_74?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-74,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Tan-Black,₹969,4.4 out of 5 stars,"2,514"
https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR/ref=sr_1_75?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-75,"Bennett Casual Laptop Bag School Bags for Boys Girls 15.6-inch, 25 LTR Office & College bags for Mens Water Repellent Backpack for Men & Women (GREY)",₹512,3.9 out of 5 stars,710
https://www.amazon.in/Fur-Jaden-Camping-Rucksack-Backpack/dp/B07PMWMN19/ref=sr_1_76?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-76,Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack,₹249,3.6 out of 5 stars,"7,975"
