Product URL,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Classic-Leather-Laptop-Backpack-LBPCLSLTH1901/dp/B07G4CYC74/ref=sr_1_74?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-74,NA,NA,NA,NA
https://www.amazon.in/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR/ref=sr_1_75?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-75,NA,NA,NA,NA
https://www.amazon.in/Fur-Jaden-Camping-Rucksack-Backpack/dp/B07PMWMN19/ref=sr_1_76?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-76,NA,NA,NA,NA
https://www.amazon.in/Gear-Classic-Casual-Backpack-BKPCAMPS80304/dp/B019FBEJCO/ref=sr_1_77?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-77,NA,NA,NA,NA
https://www.amazon.in/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK/ref=sr_1_78?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-78,NA,NA,NA,NA
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-79,NA,NA,NA,NA
https://www.amazon.in/Genie-Snowflake-School-Backpack-resistant/dp/B084VR37RQ/ref=sr_1_80?crid=2M096C61O4MLT&keywords=bags&qid=1692632318&sprefix=ba%2Caps%2C283&sr=8-80,NA,NA,NA,NA
https://www.amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D4KWQ6/ref=sr_1_193?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-193,NA,NA,NA,NA
https://www.amazon.in/HYDER-Gamepad-Waterproof-Backpack-Everyday/dp/B0BR3KK8TR/ref=sr_1_194?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-194,NA,NA,NA,NA
https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903338054702/dp/B012D51GXO/ref=sr_1_195?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-195,NA,NA,NA,NA
https://www.amazon.in/bg1905-Capacity-Laptop-Travelling-Backpack/dp/B082MKHDJ1/ref=sr_1_196?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-196,NA,NA,NA,NA
https://www.amazon.in/Frantic-Velvet-School-Nursery-Travelling/dp/B09176PYDR/ref=sr_1_197?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-197,"Care Instructions: Hand Wash Only. Mainly Soft velvet and manmade fur,cartoon design pattern,metal zipper closure type, security and convenient.double adjustable shoulder strap. FEATURE-Non-toxic, soft and Skin Friendly Fabric gives a wonderful look. Light in Weight and adjustable backpack straps and zippered front compartment. Outer Material:skin friendly, washable felt velvet.Have enough space for small things, like toys, foods, fruits, small books, stationeries, etc. External Design:it features smooth and convenient closure,detailed stremlined stitching,it's perfect for everyday use.its solf comfort texture for good durablity.perfect shape,beatiful outline and fine workmanship make it a stylish and fashional design.it is high-end design,large capacity and various colors suitable for all ages,and a fashion bag full of personality,great in detail and good for your personal collectionbthe fashional style could make you impressive in any occassion.. Very Attractive To Make You Have A Good Feeling All The Time, Gift this soft, smooth bag as a great gift to your loved one",NA,NA,NA
https://www.amazon.in/American-Tourister-Casual-Travel-Duffle/dp/B00FRCNRPQ/ref=sr_1_198?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-198,NA,NA,NA,NA
https://www.amazon.in/Trunkit-Waterproof-Travelling-Trekking-Backpack/dp/B08GZB73RZ/ref=sr_1_199?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-199,NA,NA,NA,NA
https://www.amazon.in/Gear-ltr-Black-Orange-DUFPRO2000106/dp/B00Z93WSVW/ref=sr_1_200?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-200,NA,NA,NA,NA
https://www.amazon.in/Martucci-Waterproof-Backpack-College-Business/dp/B0BRJRVH6D/ref=sr_1_201?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-201,NA,NA,NA,NA
https://www.amazon.in/Dolfin-Backpack-Charging-Resistant-Compartment/dp/B0C5RNGRBP/ref=sr_1_202?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-202,NA,NA,NA,NA
https://www.amazon.in/Dell-Essential-Backpack-15-ES1520P/dp/B07TTCXHRH/ref=sr_1_203?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-203,NA,NA,NA,NA
https://www.amazon.in/Gear-Black-Laptop-Backpack-BUSCLIMBR0109/dp/B015C73FCA/ref=sr_1_204?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-204,NA,NA,NA,NA
https://www.amazon.in/Safari-Swagpack-Backpack-Compartments-Raincover/dp/B09B25QMKY/ref=sr_1_205?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-205,NA,NA,NA,NA
https://www.amazon.in/Amazon-15-6-Inch-Backpack-College-Anti-Theft/dp/B0C8NWKRRH/ref=sr_1_206?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-206,NA,NA,NA,NA
https://www.amazon.in/Safari-Polyester-Cms-Travel-KRYPTON17DFBLK_Black/dp/B097L3XJ38/ref=sr_1_207?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-207,NA,NA,NA,NA
https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B097JJ64SH/ref=sr_1_208?crid=2M096C61O4MLT&keywords=bags&qid=1692632321&sprefix=ba%2Caps%2C283&sr=8-208,NA,NA,NA,NA
